Left_mean_margin,Left_std_margin,Left_min_margin,Left_max_margin,Left_median_margin,Left_skewness_margin,Left_kurtosis_margin,Right_mean_margin,Right_std_margin,Right_min_margin,Right_max_margin,Right_median_margin,Right_skewness_margin,Right_kurtosis_margin,Mean of Pen Pressure,Standard Deviation of Pen Pressure,Class_Label
113.58,206.8170692,0,1809,80,5.833460344,43.13709033,171.87,193.3127835,5,576,79,1.091645589,-0.29069743,249.1346142,22.34491297,1
179.3,204.9293787,53,1532,127,4.557827499,26.30989893,384.69,614.6321071,1,1908,45,1.437159297,0.598114862,250.0770841,20.70785589,1
311.45,303.2443788,12,1071,209.5,1.633696275,1.445684626,265.79,346.045769,1,1384,60,1.362986706,1.166572293,247.620429,25.79793146,1
202.04,201.5864177,61,1869,150,5.392167935,40.02716441,218.195,236.5254073,54,1475,88,2.312128596,5.783309411,248.8399323,23.68119554,1
253.71,329.3227799,0,1712,109,1.488364261,1.68801287,103.45,129.4781854,1,1026,47,2.496173669,11.85844229,247.6468135,26.98445579,1
533.465,418.0194494,318,2169,400,2.531695505,4.996691146,276.45,410.9715997,5,2170,63.5,1.720932166,2.292975343,252.1643833,16.62912339,1
208.835,272.2291153,0,1056,88.5,2.063362321,2.928046849,130.255,213.2796545,1,990,32,2.366046139,5.423228024,248.4869028,25.21615737,1
446.085,572.8221924,46,1845,175,1.555997351,0.897567402,145.155,211.0668545,1,895,61.5,2.146241764,4.027140686,249.6054599,22.98515118,1
660.2,709.6677473,152,2193,290.5,1.172649158,-0.313539766,541.22,659.2707572,1,2194,228.5,1.765772662,1.469329078,246.4932553,31.77471427,1
432.365,508.1455216,0,1960,99,0.931615811,-0.421003058,249.44,334.598952,10,1961,97,2.338152353,6.95282681,251.4762159,20.1373139,1
436.72,703.3356573,0,2057,50,1.627690675,1.00619575,513.955,724.0450949,24,2058,133,1.326041315,0.116631103,244.4098554,34.34865292,1
758.42,622.6464055,326,2268,413.5,1.27778557,0.043292672,447.54,598.4051403,55,2269,128.5,1.833089376,2.427365384,252.4457002,17.11755528,1
312.955,584.459827,37,2082,93,2.3638828,3.839365554,203.595,383.0657487,12,2083,130,3.809269292,14.43305258,245.6724494,32.18480895,1
512.27,649.6364713,83,2200,186,1.837457802,1.962311031,480.51,672.7401179,22,2201,177.5,1.715583319,1.711475209,250.1814537,23.64511928,1
